category,outcome_variable,short_name,description
Child care behaviors,zerodose.yn,Zero Dose Immz Y/N,If any child without DPT immz then =1
Child health,ari.cnt,Acute Respitory Illness Count,
Child health,ari.last,Acute Respitory Illness Last,
Women's health,bmi,BMI,
Child care behaviors,care.cnt,Care Count,
Child health,chest.prob.cnt,Chest Prob Count,
Child health,chest.prob.last,Chest Prob Last,
Child health,chest.prob.yn,Chest Prob Y/N,
Child health,cough.2wks.last,Cough 2 Weeks Last,
Child health,cough.cnt,Cough Count,
Child health,cough.yn,Cough Y/N,
Child health,diarrhea.2wks.last,Diarrhea 2 Weeks Last,
Child health,diarrhea.cnt,Diarrhea Count,
Child health,diff.breath.cnt,Diff Breathing Count,
Child health,diff.breath.last,Diff Breathing Last,
Child health,diff.breath.yn,Diff Breathing Y/N,
Child health,fever.2wks.last,Fever 2 Weeks Last,
Child health,fever.cnt,Fever Count,
Child health,fever.cough.2wks.last,Fever / Cough 2 Weeks Last,
Child health,fever.yn,Fever Y/N,
Pregnancy/postpartum​,home.birth.cnt,Home Birth Count,
Pregnancy/postpartum​,home.birth.last,Home Birth Last,
Pregnancy/postpartum​,home.birth.yn,Home Birth Y/N,
Child care behaviors,no.breastfeed.cnt,No Breastfeed Count,
Child care behaviors,no.breastfeed.last,No Breastfeed Last,
Child care behaviors,no.breastfeed.yn,No Breastfeed Y/N,
Child care behaviors,no.breastfeed2.cnt,No Breastfeed 2 Count,
Child care behaviors,no.breastfeed2.last,No Breastfeed 2 Last,
Child care behaviors,no.breastfeed2.yn,No Breastfeed 2 Y/N,
Child care behaviors,no.fever.cough.care.yn,No Fever / Cough Care Y/N,
Child mortality,u1mort.cnt,U1 Mortality Count,
Child mortality,u5mort.cnt,U5 Mortality Count,
Child health,waste.cat2.last,Wasted Child Last,
Women's health,woman.underweight,Woman Underweight,
